DATE,OHLC_OPEN,OHLC_HIGH,OHLC_LOW,OHLC_CLOSE,VOLUME,5D_MAVG,10D_MAVG
2015-08-14,114.32,116.31,114.01,115.96,42929516,115.824,116.403
2015-08-13,116.04,116.4,114.54,115.15,48535789,115.82,117.125
2015-08-12,112.53,115.42,109.63,115.24,101685610,115.852,117.9
2015-08-11,117.81,118.18,113.33,113.49,97082814,116.082,118.889
2015-08-10,116.53,119.99,116.53,119.72,54951597,115.826,119.194
2015-08-07,114.58,116.25,114.5,115.52,38670405,116.982,120.092
2015-08-06,115.97,116.5,114.12,115.13,52903040,118.43,121.095
2015-08-05,112.95,117.44,112.1,115.4,99312613,119.948,122.077
2015-08-04,117.42,117.7,113.25,114.64,124138623,121.696,123.688
2015-08-03,121.5,122.57,117.52,118.44,69975968,122.562,125.051
2015-07-31,122.6,122.64,120.91,121.3,42884953,123.202,125.883
2015-07-30,122.32,122.57,121.71,122.37,33628268,123.76,126.497
2015-07-29,123.15,123.5,122.27,122.99,37011653,124.206,126.88
2015-07-28,123.38,123.91,122.55,123.38,33618097,125.68,127.103
2015-07-27,123.09,123.61,122.12,122.77,44455540,127.54,127.392
2015-07-24,125.32,125.74,123.9,124.5,42162332,128.564,127.27
2015-07-23,126.2,127.09,125.06,125.16,50999452,129.234,126.761
2015-07-22,121.99,125.5,121.99,125.22,115450607,129.554,126.496
2015-07-21,132.85,132.92,130.32,130.75,76756427,128.526,125.99
2015-07-20,130.97,132.97,130.7,132.07,58900203,127.244,125.383
2015-07-17,129.08,129.62,128.31,129.62,46164710,125.976,125.065
2015-07-16,127.74,128.57,127.35,128.51,36222447,124.288,124.874
2015-07-15,125.72,127.15,125.58,126.82,33649200,123.438,124.734
2015-07-14,126.04,126.37,125.04,125.61,31768139,123.454,124.626
2015-07-13,125.03,125.76,124.32,125.66,41440538,123.522,124.735
2015-07-10,121.94,123.85,121.21,123.28,61354474,124.154,125.157
2015-07-09,123.85,124.06,119.22,120.07,78595038,125.46,125.961
2015-07-08,124.48,124.64,122.54,122.57,60761614,126.03,126.407
2015-07-07,125.89,126.15,123.77,125.69,46946811,125.798,126.599
2015-07-06,124.94,126.23,124.85,126,28060431,125.948,126.659
2015-07-02,126.43,126.69,125.77,126.44,27210952,126.16,126.803
2015-07-01,126.9,126.94,125.99,126.6,30238811,126.462,126.873
2015-06-30,125.57,126.12,124.86,125.42,44370682,126.784,127.091
2015-06-29,125.46,126.47,124.48,124.53,49161427,127.4,127.33
2015-06-26,127.67,127.99,126.51,126.75,44066841,127.37,127.372
2015-06-25,128.86,129.2,127.5,127.5,31938100,127.446,127.481
2015-06-24,127.21,129.8,127.12,128.11,55280855,127.284,127.558
